[2019-05-16 15:58:11,592][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:58:41,556][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:58:41,557][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 15:59:11,520][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:59:41,485][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 35.8gb[7.7%], shards will be relocated away from this node
[2019-05-16 15:59:41,486][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:00:11,452][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:00:41,416][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:00:41,417][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:01:11,380][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:01:41,346][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:01:41,347][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:02:11,310][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:02:41,275][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:02:41,275][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:03:11,239][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:03:41,203][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:03:41,206][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:04:11,168][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:04:41,133][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:04:41,134][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:05:11,098][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:05:41,063][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:05:41,065][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:06:11,028][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:06:40,992][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:06:40,993][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:07:10,959][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 36.8gb[7.9%], shards will be relocated away from this node
[2019-05-16 16:07:40,922][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 34.8gb[7.5%], shards will be relocated away from this node
[2019-05-16 16:07:40,923][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:08:10,888][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.8gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:08:40,852][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.8gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:08:40,853][INFO ][cluster.routing.allocation.decider] [Mentor] high disk watermark exceeded on one or more nodes, rerouting shards
[2019-05-16 16:09:10,816][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
[2019-05-16 16:09:40,780][WARN ][cluster.routing.allocation.decider] [Mentor] high disk watermark [90%] exceeded on [L7t_IhmLRJqdQTTwG0mMCA][Mentor] free: 33.7gb[7.2%], shards will be relocated away from this node
